AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,2.3,,0.8,0.6,0.2,64.2,51.9,66.5
Cash_from_Operations,-12.6,-14.4,-15.8,-10.2,-15.9,-95.1,-69.2,-5.0
Diluted_EPS,-0.183,-0.221,-0.3,-0.238,22.19,-118.253,-35.606,-3.518
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.1,0.2,9.6,9.4,9.4,0.0,2.3,0.0
Net_Income,-19.4,-16.8,-19.5,-13.6,89.8,-283.3,-77.4,-6.3
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,106.5023,75.9792,64.9675,57.2951,4.0483,2.396,2.1724,1.781
Total_Assets,54.8,29.4,32.6,37.9,42.3,52.2,233.6,367.7
Total_Liabilities,11.7,18.9,19.4,17.7,17.3,172.2,95.4,19.2
