AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,48.0,38.3,30.1,20.5,20.2
Cash_from_Operations,199.9,127.3,103.9,66.3,72.3
Diluted_EPS,0.06,-0.458,-0.028,-0.349,-0.091
Goodwill_Intangibles,2613.9,2680.1,2778.8,2877.4,
LT_Debt,804.9,814.2,1328.9,1352.4,0.0
Net_Income,38.4,-248.9,-16.9,-210.3,-55.0
Revenue,782.4,688.3,633.1,616.1,569.8
Shares_Diluted,642.8416,543.5582,603.1704,603.1704,603.1704
Total_Assets,3350.9,3237.5,3195.6,3184.6,
Total_Liabilities,1305.6,1365.2,1823.9,1805.7,
