AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,,7.8,10.0,7.7,5.4,5.3,5.6
Cash_from_Operations,,-6.1,58.0,53.4,36.8,25.0,3.8
Diluted_EPS,-0.358,0.389,0.377,-0.144,0.15,-0.073,-0.181
Goodwill_Intangibles,129.0,133.7,135.5,103.2,105.0,105.2,
LT_Debt,29.2,56.5,76.7,95.2,50.8,0.0,0.0
Net_Income,-20.2,22.6,21.8,-7.3,8.2,-4.0,-9.9
Revenue,146.3,233.4,194.1,147.9,108.5,80.8,62.1
Shares_Diluted,56.4065,58.0908,57.941,50.9452,55.0,55.0,55.0
Total_Assets,370.3,427.7,348.1,298.6,229.0,203.9,
Total_Liabilities,294.8,334.7,278.6,251.3,166.8,88.3,
