AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.9,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,-17.6,-6.8,-11.5,-2.2,-2.4,0.0
Diluted_EPS,-0.69,-0.957,-0.884,-1.138,-2.224,-0.03
Goodwill_Intangibles,81.3,,,,,
LT_Debt,7.6,0.0,0.0,0.0,0.0,0.0
Net_Income,-38.6,-27.9,-24.7,-8.4,-10.5,-0.2
Revenue,0.1,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,55.9633,29.1568,27.9661,7.362,4.7242,5.9189
Total_Assets,89.3,17.3,15.3,0.1,1.8,0.0
Total_Liabilities,14.4,1.1,0.7,3.0,3.3,0.0
