AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,94.8,133.8,39.1,12.0,10.1
Cash_from_Operations,-308.2,-789.4,562.5,-93.6,-79.8
Diluted_EPS,-1.375,-2.369,-0.77,-0.609,-0.435
Goodwill_Intangibles,34.2,14.3,15.2,6.1,6.7
LT_Debt,40.0,27.4,56.0,83.1,0.0
Net_Income,-268.2,-443.3,-139.0,-107.5,-76.7
Revenue,72.6,110.9,52.6,18.8,13.9
Shares_Diluted,194.9971,187.1207,180.4606,176.4599,176.4599
Total_Assets,926.6,1247.2,1627.4,140.7,135.3
Total_Liabilities,352.3,505.8,861.4,186.7,100.8
