AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,27.1,12.2,16.9,38.0,40.0,33.0,42.7,78.2,129.6,182.8
Cash_from_Operations,134.5,196.9,173.5,70.3,18.5,8.1,74.4,107.1,93.9,175.1
Diluted_EPS,1.301,3.18,-1.376,-2.455,-0.224,-0.986,-2.387,-1.011,1.001,1.94
Goodwill_Intangibles,5.0,6.7,9.3,14.3,17.8,19.9,25.0,30.6,30.3,29.0
LT_Debt,0.0,0.0,39.3,168.6,189.1,165.3,136.6,200.2,185.2,30.2
Net_Income,65.1,171.0,-61.9,-110.0,-10.0,-43.8,-105.5,-45.0,46.1,89.5
Revenue,1329.9,1282.9,830.7,1208.8,1610.6,1329.2,869.5,1106.2,1674.2,1380.9
Shares_Diluted,51.5,55.0,45.0,44.8,44.6,44.4,44.2,44.5,46.0441,46.2495
Total_Assets,1082.0,1158.9,994.0,1085.2,1275.3,1156.6,1069.9,1142.5,1364.1,1078.8
Total_Liabilities,395.5,494.3,486.5,522.1,662.4,595.9,472.5,460.5,616.0,278.0
