AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,585.0,686.0,268.0,205.0,184.0
Cash_from_Operations,205.0,458.0,334.0,377.0,272.0
Diluted_EPS,0.376,-0.348,0.184,-0.066,-0.124
Goodwill_Intangibles,1473.0,1662.0,1884.0,1937.0,2099.0
LT_Debt,3524.0,2831.0,2793.0,2738.0,2036.0
Net_Income,226.0,-210.0,111.0,-40.0,-75.0
Revenue,4689.0,4055.0,3451.0,3344.0,3338.0
Shares_Diluted,601.0,603.2831,603.2831,603.2831,603.2831
Total_Assets,5865.0,5325.0,4254.0,4066.0,4023.0
Total_Liabilities,5410.0,5039.0,4206.0,4054.0,3883.0
