AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,3.1,6.5,2.4,13.9,12.0,2.2
Cash_from_Operations,-105.7,-57.3,-99.8,-257.6,-69.3,-32.4
Diluted_EPS,-3.388,-4.917,-4.919,-6.434,-4.633,-2.352
Goodwill_Intangibles,80.8,97.4,130.0,138.5,107.4,52.0
LT_Debt,6.3,13.8,6.8,12.4,0.0,0.0
Net_Income,-123.6,-181.7,-191.8,-235.4,-169.5,-86.0
Revenue,632.7,585.7,469.5,329.9,200.3,82.5
Shares_Diluted,36.4916,36.943,38.9994,36.5774,36.5774,36.5774
Total_Assets,1258.9,1323.8,1542.8,1407.0,1329.8,427.4
Total_Liabilities,792.2,786.1,806.4,787.6,802.5,432.3
