AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013
Capital_Expenditures,0.6,0.3,0.4,0.2,0.2,0.7,0.1,0.1,0.0,0.0,0.0
Cash_from_Operations,-41.6,-72.6,-48.1,-20.8,-35.1,-21.5,15.5,-21.9,-14.4,-7.5,-4.1
Diluted_EPS,-0.407,-0.961,-0.758,-0.887,0.575,-2.014,-0.4429999999999999,-0.434,-0.366,-0.379,-0.341
Goodwill_Intangibles,1.8,12.4,13.5,10.7,16.3,24.5,5.3,5.3,5.3,14.0,0.2
LT_Debt,494.5,0.0,0.0,0.0,0.0,4.4,7.5,6.4,0.0,0.0,0.0
Net_Income,-78.8,-88.6,-52.7,-29.1,9.9,-26.4,-27.2,-25.7,-14.5,-7.8,-5.4
Revenue,0.7,1.8,0.9,0.7,57.1,16.1,2.9,0.0,,1.8,2.3
Shares_Diluted,193.3361,92.2393,69.5241,32.829,17.229,13.087,61.5486,59.1023,39.5992,20.5096,15.8094
Total_Assets,664.2,113.4,102.5,96.2,79.6,78.2,47.9,31.9,24.7,9.3,5.6
Total_Liabilities,537.5,30.1,23.0,17.4,23.8,82.7,52.4,11.4,5.6,3.2,1.9
