AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,0.4,18.3,12.7,6.9,4.8
Cash_from_Operations,-65.8,-213.5,-74.1,-89.5,-59.4
Diluted_EPS,-0.501,-4.136,-12.608,-4.721,-2.717
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0
Net_Income,-25.2,-204.4,-592.1,-221.7,-127.6
Revenue,75.3,309.6,183.5,57.6,44.0
Shares_Diluted,50.2802,49.4056,46.9665,46.9665,46.9665
Total_Assets,139.0,224.0,480.4,130.1,204.3
Total_Liabilities,31.4,111.0,187.9,99.6,48.5
