AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.5,1.2,3.0,1.1,1.5,0.2
Cash_from_Operations,93.9,59.2,-108.3,-20.6,-4.6,10.1
Diluted_EPS,1.483,2.94,2.073,0.736,1.094,0.812
Goodwill_Intangibles,62.4,51.0,29.9,23.6,4.0,2.1
LT_Debt,40.0,57.9,306.2,9.8,9.8,9.7
Net_Income,27.9,52.5,17.7,4.6,4.6,3.4
Revenue,127.5,103.5,54.5,30.9,22.4,18.5
Shares_Diluted,18.8246,17.8506,8.5356,6.2205,4.1685,4.1272
Total_Assets,3141.0,2665.1,1498.3,960.8,539.6,424.1
Total_Liabilities,2881.7,2388.2,1390.3,868.7,500.2,387.9
