AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,214.4,302.2,400.7,149.8,391.9,234.5,697.3,1516.5,734.2
Cash_from_Operations,253.9,145.8,106.5,116.7,-35.1,-115.4,-344.6,24.9,67.7
Diluted_EPS,3.825,-2.821,-2.106,-2.299,-1.786,-1.986,-1.833,-0.552,1.2819999999999998
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1358.2,1367.9,1294.7,1835.1,1025.9,1525.7,1344.5,1241.1,686.2
Net_Income,413.9,-273.6,-212.0,-231.4,-179.7,-186.5,-171.1,-48.0,109.6
Revenue,451.8,438.6,448.8,430.6,143.5,80.3,102.7,106.2,99.8
Shares_Diluted,108.208,96.983,100.659,100.684,100.597,93.933,93.357,87.01299999999998,85.456
Total_Assets,4948.3,4314.2,4632.1,4806.6,4764.3,4256.9,4269.2,3899.7,2665.2
Total_Liabilities,3217.6,3021.7,3133.9,3061.5,3049.0,2393.6,2373.8,1664.0,861.1
