AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,8.7,10.5,5.4,14.6,9.1
Cash_from_Operations,124.9,-144.3,-58.5,-58.2,-50.7
Diluted_EPS,-1.432,-0.83,-1.141,-1.018,-0.699
Goodwill_Intangibles,77.2,408.1,449.5,494.1,2.7
LT_Debt,0.0,0.0,4.6,0.0,0.0
Net_Income,-349.8,-187.8,-251.6,-224.3,-154.0
Revenue,1398.8,1102.7,688.6,557.3,462.3
Shares_Diluted,244.2279,226.4146,220.4074,220.4074,220.4074
Total_Assets,715.6,1063.4,740.7,678.2,174.4
Total_Liabilities,165.4,153.4,220.8,162.2,84.2
