AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,4.7,7.5,1.0,1.7,0.9,0.1
Cash_from_Operations,-110.4,-211.0,-85.9,-28.2,-63.7,-32.1
Diluted_EPS,-19.917,-21.285,-7.049,-9.802,-5.464,-3.123
Goodwill_Intangibles,12.7,9.3,6.5,5.7,3.2,
LT_Debt,167.4,144.3,0.0,8.5,0.0,0.0
Net_Income,-172.0,-166.3,-59.1,-80.5,-44.9,-25.6
Revenue,670.8,636.9,195.7,166.2,131.8,94.5
Shares_Diluted,8.6381,7.8114,8.3904,8.2107,8.2107,8.2107
Total_Assets,248.0,365.7,312.1,82.8,138.7,
Total_Liabilities,307.8,290.5,74.9,39.4,47.5,
