AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,524.0,662.1,530.0,344.6,79.8,38.6,30.0
Cash_from_Operations,234.1,188.7,110.8,44.9,15.7,5.0,1.7
Diluted_EPS,5.522,4.554,3.266,2.034,0.749,-0.135,-0.436
Goodwill_Intangibles,9.1,9.1,,,,,
LT_Debt,301.5,326.1,136.7,134.7,0.0,0.0,0.0
Net_Income,152.2,112.1,63.9,21.7,5.5,-0.5,-4.4
Revenue,276.4,204.6,116.9,44.7,14.8,6.4,0.3
Shares_Diluted,27.6632,26.2612,19.5576,10.6841,7.2858,3.3753,10.0625
Total_Assets,2414.8,2084.6,1768.1,745.9,281.5,80.0,63.3
Total_Liabilities,452.9,472.9,243.1,197.8,17.2,6.5,2.9
