AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.0,0.0,,,,,0.0
Cash_from_Operations,-0.5,-0.3,-0.3,-0.4,-0.4,-0.4,-1.2
Diluted_EPS,-0.005,-0.003,-0.003,-0.004,-0.004,-0.01,-0.018
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-0.5,-0.3,-0.3,-0.4,-0.4,-1.0,-1.7
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,114.9159,114.9159,106.2035,94.9159,94.9159,94.9159,94.9159
Total_Assets,0.1,0.2,0.1,0.2,0.6,1.0,1.3
Total_Liabilities,2.1,1.6,1.2,1.2,1.2,1.2,0.6
