AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
Capital_Expenditures,0.2,0.1,0.4,0.3,0.0,0.0,0.1,0.2,0.1,0.2,7.3
Cash_from_Operations,-13.2,-19.0,18.6,-49.4,-8.5,-2.8,23.2,-7.4,-28.4,-8.1,-13.6
Diluted_EPS,-0.123,0.51,-0.062,-0.026,0.683,0.912,0.443,-0.069,-0.098,-0.092,-0.108
Goodwill_Intangibles,1.2,1.9,1.7,,,,,,,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,8.2,6.9,0.0
Net_Income,-8.4,35.0,-4.2,-1.8,46.9,62.7,30.4,-4.8,-3.7,-3.4,-3.1
Revenue,80.0,54.1,5.9,33.0,8.2,27.6,5.2,4.8,8.6,11.2,8.5
Shares_Diluted,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,68.6919,37.4043,28.6919,28.6919
Total_Assets,274.1,367.0,348.5,187.3,183.8,164.9,139.6,106.3,101.3,62.4,50.2
Total_Liabilities,142.6,211.8,213.0,56.8,68.4,83.6,124.1,120.8,111.8,72.6,57.7
