AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.4,0.8,1.3,2.8,4.5,6.7
Cash_from_Operations,4.4,-21.7,-2.0,5.8,-19.5,-7.2
Diluted_EPS,-0.635,-1.61,-2.49,0.083,-1.001,-0.729
Goodwill_Intangibles,0.8,1.0,1.0,0.6,0.6,0.2
LT_Debt,0.0,0.0,0.0,0.0,1.8,70.3
Net_Income,-19.9,-46.0,-64.7,2.4,-28.8,-21.0
Revenue,71.5,73.8,89.6,158.4,126.4,85.8
Shares_Diluted,31.2485,28.5979,25.9852,28.7426,28.7426,28.7426
Total_Assets,45.9,67.1,97.3,90.1,80.5,89.3
Total_Liabilities,36.6,47.0,40.9,47.7,43.5,99.7
