AAII_YR_DATA,12/25/2022,12/26/2021,12/27/2020,12/31/2019,12/29/2019,12/31/2018,12/30/2018,12/31/2017,12/31/2016,12/25/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,96.9,84.5,48.1,0.0,39.3,0.0,,,0.0,,0.0,0.0,0.0
Cash_from_Operations,-43.2,-64.5,-90.4,109.8,-37.2,108.0,,,-46.8,,9.5,,
Diluted_EPS,-1.729,-1.598,-1.32,-0.331,-0.635,-0.363,-0.291,-0.309,0.256,-0.198,2.297,2.278,1.3869999999999998
Goodwill_Intangibles,66.5,68.8,17.2,580.6,12.0,596.2,,,5.0,,,,
LT_Debt,0.0,0.0,0.0,685.2,0.0,696.8,0.0,0.0,396.2,0.0,403.0,402.6,400.4
Net_Income,-190.4,-153.2,-141.2,-38.1,-67.9,-43.3,-31.1,-33.0,32.5,-21.2,291.2,,
Revenue,470.1,339.9,220.6,1625.2,274.2,1465.2,220.5,170.5,1250.3,113.2,1022.9,,
Shares_Diluted,110.1283,95.8684,106.9994,115.2341,106.9994,119.2539,106.9994,106.9994,126.8,106.9994,126.8,126.8,126.8
Total_Assets,908.9,762.6,265.7,6413.8,386.4,6007.7,,,5166.5,,5091.9,5192.3,5289.8
Total_Liabilities,367.7,109.5,67.4,4550.4,54.0,4071.0,,,3178.4,,,,
