AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,3.9,4.6,8.2,3.7,6.7
Cash_from_Operations,1259.6,680.5,-468.0,-424.7,-31.8
Diluted_EPS,5.354,4.665,6.171,0.093,1.222
Goodwill_Intangibles,209.8,216.2,62.8,62.8,60.7
LT_Debt,1489.6,2907.0,3566.2,1933.7,1332.8
Net_Income,328.6,283.8,370.6,5.6,73.3
Revenue,996.5,1739.5,1978.5,1023.5,784.0
Shares_Diluted,61.379,60.825,60.056,60.0,60.0
Total_Assets,3239.6,4383.2,4818.1,2607.4,2038.3
Total_Liabilities,1990.4,3463.2,4082.1,2201.4,1597.3
