AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,8.1,5.2,5.1,5.7,4.7
Cash_from_Operations,24.4,13.1,15.3,11.3,10.1
Diluted_EPS,0.707,0.62,0.455,-0.577,-0.394
Goodwill_Intangibles,890.6,134.8,133.0,132.4,147.9
LT_Debt,354.2,27.0,53.5,67.7,82.2
Net_Income,18.8,14.2,10.5,-13.3,-9.1
Revenue,265.0,127.0,104.4,92.7,77.1
Shares_Diluted,26.547,22.922,23.0581,23.0581,23.0581
Total_Assets,1138.3,307.2,339.5,219.0,237.1
Total_Liabilities,700.9,92.8,142.8,128.2,132.7
