AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,2.9,1.3,4.3,1.8,0.9,0.9,0.3,0.1
Cash_from_Operations,-74.9,-4.2,42.3,-20.3,48.8,-22.7,-20.8,3.1
Diluted_EPS,2.034,1.436,1.228,0.879,1.162,0.86,0.961,0.62
Goodwill_Intangibles,65.7,58.2,51.9,12.7,13.0,13.3,1.4,
LT_Debt,70.4,70.9,11.6,0.0,0.0,0.0,0.0,0.0
Net_Income,31.4,16.2,14.1,7.2,8.9,5.6,3.9,1.9
Revenue,130.3,79.2,69.2,40.2,36.0,29.9,17.2,11.1
Shares_Diluted,15.4445,11.2813,11.4688,8.2393,7.6915,6.479,4.0538,3.0624
Total_Assets,3026.5,1901.8,1724.3,1125.0,912.0,876.4,449.7,253.2
Total_Liabilities,2704.6,1678.1,1515.9,984.9,805.1,779.7,406.2,219.2
