AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,,,0.0,0.0,1.1,,,,
Cash_from_Operations,70.3,39.4,66.1,62.5,44.0,28.3,27.7,57.7,56.4
Diluted_EPS,1.935,0.61,1.495,1.609,1.178,0.66,0.415,1.423,1.3719999999999999
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,67.8,21.2,51.0,51.9,37.1,20.2,12.7,43.6,42.1
Revenue,93.4,46.9,78.8,73.3,57.3,37.6,31.9,65.2,65.9
Shares_Diluted,35.052,34.68,34.126,32.28,31.488,30.675,30.675,30.675,30.675
Total_Assets,146.8,88.3,116.9,87.9,92.0,67.2,73.7,97.5,112.8
Total_Liabilities,4.4,3.8,4.5,1.3,1.3,0.3,0.6,1.0,1.0
