AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,844.0,611.0,584.0,781.0,846.0,698.0,657.0,503.0,779.0,605.0
Cash_from_Operations,1263.0,1222.0,1413.0,1624.0,1628.0,1468.0,1941.0,1703.0,2135.0,1750.0
Diluted_EPS,1.958,1.943,6.535,3.846,4.023,5.055,4.593,5.059,4.475,3.887
Goodwill_Intangibles,7691.0,3475.0,3671.0,3593.0,3904.0,3163.0,2650.0,2922.0,2112.0,1219.0
LT_Debt,6460.0,4059.0,4011.0,3971.0,4038.0,4132.0,3953.0,3956.0,2417.0,2351.0
Net_Income,531.0,527.0,1769.0,990.0,1067.0,1355.0,1257.0,1450.0,1262.0,1123.0
Revenue,17489.0,15618.0,13066.0,14357.0,14435.0,12884.0,12274.0,10864.0,15499.0,15051.0
Shares_Diluted,271.18,271.22,270.7,257.39,265.22,268.03,273.7,286.64,301.89,311.8
Total_Assets,21884.0,18007.0,17522.0,13459.0,12480.0,12169.0,12292.0,11973.0,10746.0,11047.0
Total_Liabilities,13075.0,9660.0,9617.0,9640.0,9021.0,8870.0,9891.0,9723.0,8236.0,8136.0
