AAII_YR_DATA,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018
Capital_Expenditures,6.5,3.5,4.0,5.2,3.7,0.8
Cash_from_Operations,17.0,-6.0,10.1,-0.2,-5.6,-11.8
Diluted_EPS,-1.447,-1.271,-0.865,-0.768,-0.553,-0.518
Goodwill_Intangibles,156.1,95.3,98.8,,,
LT_Debt,282.9,281.1,217.5,0.0,0.0,0.0
Net_Income,-128.4,-107.5,-68.9,-50.3,-40.7,-38.1
Revenue,370.8,281.4,213.6,166.4,117.8,79.6
Shares_Diluted,88.721,84.514,79.614,65.544,73.611,73.611
Total_Assets,817.9,806.4,795.4,435.4,197.2,81.4
Total_Liabilities,576.9,539.5,428.7,127.5,93.1,54.5
