AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.015,0.451,0.984,0.316,0.065,0.509,2.793,2.91
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,0.3,8.3,18.1,5.8,1.2,9.4,51.4,53.6
Revenue,1.2,9.1,18.9,6.7,1.5,10.2,52.4,54.5
Shares_Diluted,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4
Total_Assets,1.0,7.9,12.6,18.2,24.1,31.2,58.1,145.2
Total_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
