AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,26.3,11.0,9.0,8.8,8.3
Cash_from_Operations,66.4,20.2,169.0,37.1,0.4
Diluted_EPS,-0.633,1.01,1.14,-0.091,-0.149
Goodwill_Intangibles,564.0,542.8,572.1,603.8,474.5
LT_Debt,232.2,242.9,321.4,503.4,394.1
Net_Income,-60.9,101.0,103.2,-8.4,-13.7
Revenue,1375.1,1904.1,1702.4,1097.2,937.6
Shares_Diluted,96.28,100.004,90.577,91.8494,91.8494
Total_Assets,1297.2,1337.4,1314.1,1059.7,811.0
Total_Liabilities,673.4,769.2,876.7,842.9,648.3
