AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,15.8,12.4,7.2,13.1,13.7,5.2
Cash_from_Operations,12.6,36.7,21.9,-7.0,-21.1,-24.7
Diluted_EPS,-2.102,-1.978,-0.774,-0.649,-0.442,-0.433
Goodwill_Intangibles,760.7,770.0,177.7,165.3,13.6,
LT_Debt,45.6,47.3,48.8,50.3,51.5,0.0
Net_Income,-286.9,-265.2,-99.2,-83.1,-56.7,-55.5
Revenue,720.2,514.8,400.3,289.2,186.4,112.3
Shares_Diluted,136.5257,134.0469,128.1348,128.1348,128.1348,128.1348
Total_Assets,1740.4,1690.7,820.8,503.7,275.0,
Total_Liabilities,623.6,501.4,365.4,314.5,220.5,
