AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,426.2,93.3,104.2,83.3,65.6
Cash_from_Operations,369.3,659.1,524.3,99.2,101.0
Diluted_EPS,-1.552,-0.839,-0.46,-0.129,-0.16
Goodwill_Intangibles,189.1,177.7,101.9,2.3,0.5
LT_Debt,989.0,987.7,0.0,0.0,0.0
Net_Income,-924.4,-491.7,-253.3,-71.0,-88.1
Revenue,2225.1,1919.2,923.9,508.4,325.0
Shares_Diluted,595.559,585.878,550.4508,550.4508,550.4508
Total_Assets,5375.5,4560.6,1847.8,760.2,542.4
Total_Liabilities,5069.5,3975.8,1755.4,710.3,468.4
