AAII_YR_DATA,12/31/2022,12/25/2021,12/31/2020,12/26/2020,12/28/2019,12/29/2018
Capital_Expenditures,436.2,160.8,52.5,52.5,28.2,22.2
Cash_from_Operations,197.2,283.8,84.0,84.0,41.4,38.8
Diluted_EPS,0.259,0.059,-0.025,-0.025,0.047,0.043
Goodwill_Intangibles,3043.0,2726.6,2556.7,2556.7,1542.6,1088.4
LT_Debt,2705.3,2356.3,2102.2,2102.2,1301.9,693.9
Net_Income,43.2,9.6,-4.2,-4.2,7.7,7.1
Revenue,2033.2,1467.3,904.2,904.2,600.3,492.7
Shares_Diluted,166.743,164.644,164.7096,164.7096,164.7096,164.7096
Total_Assets,6499.9,5857.4,4655.1,4655.1,1876.2,1306.9
Total_Liabilities,4847.0,4213.2,3550.9,3550.9,1587.8,869.2
