AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.4,0.3,0.0,0.2,0.0,0.3,0.9,1.4,1.1,0.8
Cash_from_Operations,-25.5,-24.1,-12.5,-19.8,-43.3,-58.8,-56.9,-49.9,-39.5,-28.3
Diluted_EPS,-1.856,-3.245,-4.497,-10.772,-55.868,-114.695,-185.943,-130.122,-15.427,-5.822
Goodwill_Intangibles,0.1,0.1,0.1,0.3,0.5,0.8,1.0,1.1,1.1,1.1
LT_Debt,0.0,4.7,0.0,0.1,0.0,0.0,19.8,0.0,0.0,11.3
Net_Income,-28.3,-27.8,-15.7,-18.6,-48.7,-71.9,-81.8,-55.7,-56.7,-18.7
Revenue,,0.0,10.0,6.8,0.1,0.1,1.2,20.8,7.7,19.6
Shares_Diluted,15.26,8.5705,3.4977,1.726,0.8719,0.6269,0.4401,0.4284,3.6742,3.2066
Total_Assets,46.7,68.5,37.6,42.1,27.9,77.8,100.7,141.1,171.5,123.1
Total_Liabilities,13.4,13.5,11.6,22.1,33.8,42.6,44.6,17.0,39.5,29.6
