AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.1,0.1,0.0,0.0,0.0,0.0
Cash_from_Operations,-8.6,-6.4,-1.8,-1.0,-0.8,-0.9
Diluted_EPS,0.001,-0.044,-0.019,-110.007,-97.727,-120.712
Goodwill_Intangibles,,,,5.1,0.5,0.0
LT_Debt,14.3,0.4,0.4,0.0,0.0,0.0
Net_Income,6.0,-195.0,-21.0,-6.1,-2.5,-1.4
Revenue,16.6,10.6,1.4,0.3,0.2,0.1
Shares_Diluted,4661.317,4442.045,1110.673,0.0558,0.0255,0.0117
Total_Assets,9.5,11.6,2.4,5.8,0.7,0.1
Total_Liabilities,29.7,39.1,8.7,11.0,3.0,1.5
