AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,2.2,1.3,3.8,5.1,4.3
Cash_from_Operations,-32.1,-119.3,-76.0,-127.7,-20.6
Diluted_EPS,-1.119,-3.842,-2.174,-3.049,-2.102
Goodwill_Intangibles,0.5,,0.0,0.0,0.4
LT_Debt,84.1,77.7,76.7,47.5,23.4
Net_Income,-51.2,-163.2,-91.9,-129.0,-88.9
Revenue,178.4,32.9,37.4,31.9,29.4
Shares_Diluted,45.7149,42.4886,42.2957,42.2957,42.2957
Total_Assets,540.5,374.5,244.7,230.4,243.0
Total_Liabilities,194.5,161.6,176.0,212.1,172.7
