AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,27.4,30.4,6.5,0.8,0.7
Cash_from_Operations,234.5,82.1,-57.2,-8.2,-27.0
Diluted_EPS,-190.034,-241.659,-32.298,-16.294,-8.144
Goodwill_Intangibles,1009.2,1179.0,415.2,38.8,
LT_Debt,0.0,0.0,0.0,0.0,0.0
Net_Income,-1495.2,-1184.9,-248.4,-125.3,-62.6
Revenue,2412.0,1513.0,514.9,280.7,130.6
Shares_Diluted,7.8682,4.903,7.6921,7.6921,7.6921
Total_Assets,4665.1,3598.3,1810.8,820.4,
Total_Liabilities,3945.1,2453.2,633.5,211.7,
