AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,1.6,0.0,0.3,0.3,1.7,1.4,0.7,2.0
Cash_from_Operations,51.4,132.1,5.5,-27.2,28.3,34.8,7.5,16.7
Diluted_EPS,2.911,2.839,1.871,1.21,1.024,0.54,0.717,0.569
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,12.1,12.1,14.0,15.4,13.4,17.4,17.3,23.6
Net_Income,41.8,40.0,25.8,16.9,12.8,7.1,9.4,7.5
Revenue,150.6,123.2,97.3,82.2,69.1,56.7,49.2,38.3
Shares_Diluted,14.3622,14.0814,13.8002,13.9686,12.4621,13.1614,13.1614,13.1614
Total_Assets,2123.7,2055.3,1876.6,1427.6,1105.1,1026.0,905.6,743.4
Total_Liabilities,1899.6,1857.4,1717.3,1294.3,990.5,945.9,834.9,683.8
