AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.0,0.0,0.0,1.0,0.8,0.1
Cash_from_Operations,-12.4,-38.5,-10.6,-33.5,3.9,-8.9
Diluted_EPS,-0.488,-4.081,-6.478,-13.887,-4.549,-7.87
Goodwill_Intangibles,6.8,2.3,2.9,,,
LT_Debt,0.0,0.1,0.2,0.4,13.2,7.6
Net_Income,-14.1,-38.6,-29.9,-25.8,-8.9,-15.4
Revenue,69.8,54.6,64.0,116.3,135.7,59.0
Shares_Diluted,28.8891,9.4646,4.6209,1.8604,1.951,1.951
Total_Assets,53.7,41.1,50.3,55.5,67.3,30.2
Total_Liabilities,33.6,22.5,21.9,29.9,62.2,39.8
