AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,30.5,8.6,4.1,19.0,24.1,4.2,3.7,4.4
Cash_from_Operations,200.0,-72.1,-3.1,154.1,97.8,44.8,72.9,40.8
Diluted_EPS,-0.243,-0.45,-0.073,1.122,0.575,0.444,0.293,0.07200000000000001
Goodwill_Intangibles,8838.2,1664.0,288.1,1105.4,750.1,681.8,696.8,621.2
LT_Debt,610.2,270.9,0.0,169.6,0.0,0.0,0.0,0.0
Net_Income,-170.6,-130.5,-15.8,99.0,49.6,38.1,23.9,5.7
Revenue,2307.3,469.9,262.5,683.1,493.3,361.8,253.9,137.1
Shares_Diluted,702.1,290.0445,216.066,88.182,86.135,85.706,81.69800000000001,78.3858
Total_Assets,11700.2,1874.2,471.3,1543.8,1197.5,1060.2,978.9,762.8
Total_Liabilities,2097.1,594.3,314.4,426.0,225.4,182.7,208.4,187.0
