AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,6.8,9.4,7.3,2.3,3.0,2.1,2.7
Cash_from_Operations,54.8,58.3,37.4,25.9,22.7,19.7,21.3
Diluted_EPS,2.331,2.141,1.076,1.296,1.165,0.873,0.696
Goodwill_Intangibles,28.6,29.1,29.9,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,44.3,40.6,19.8,23.6,19.6,14.9,11.9
Revenue,119.0,115.4,84.0,72.8,64.6,58.2,45.7
Shares_Diluted,19.017,18.9825,18.4476,18.2149,16.8292,17.0709,17.0709
Total_Assets,2406.3,2184.3,2123.5,1666.0,1556.0,1367.1,1299.2
Total_Liabilities,2074.0,1894.1,1866.1,1437.5,1346.6,1209.5,1155.5
