AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,81.3,20.9,27.7,26.0,12.8
Cash_from_Operations,-197.2,-77.2,-55.5,-75.4,-34.8
Diluted_EPS,-1.84,-0.983,-0.626,-0.541,-0.251
Goodwill_Intangibles,163.7,12.6,13.0,13.2,0.0
LT_Debt,901.4,0.0,68.4,32.9,24.8
Net_Income,-409.4,-215.2,-137.2,-118.7,-54.9
Revenue,1432.6,882.8,556.6,317.9,185.0
Shares_Diluted,222.5532,218.8253,219.3397,219.3397,219.3397
Total_Assets,1841.1,781.0,301.8,219.4,100.1
Total_Liabilities,1789.7,364.8,331.3,146.2,92.8
