AAII_YR_DATA,10/31/2022,10/31/2021,10/31/2020,10/31/2019,10/31/2018,10/31/2017
Capital_Expenditures,7.8,10.6,2.3,8.1,3.6,0.1
Cash_from_Operations,4.5,-2.8,8.9,-14.5,-8.8,1.0
Diluted_EPS,-1.143,-0.842,-0.456,-1.977,-0.632,0.024
Goodwill_Intangibles,145.5,142.3,18.0,12.2,0.9,0.0
LT_Debt,43.2,43.2,28.4,19.7,0.0,0.0
Net_Income,-71.8,-35.7,-7.0,-26.1,-4.5,0.3
Revenue,356.9,181.1,83.3,31.3,8.7,10.0
Shares_Diluted,62.7754,42.4317,15.267,13.2121,7.1486,12.5652
Total_Assets,274.7,246.2,69.8,40.7,25.9,11.1
Total_Liabilities,118.4,99.0,59.6,31.2,2.6,20.8
