AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
Cash_from_Operations,10.7,16.8,16.0,1.0,-7.2,-1.6,-7.2,-1.3
Diluted_EPS,0.249,0.132,0.065,0.023,-0.684,-0.279,-0.57,-0.4320000000000001
Goodwill_Intangibles,513.7,152.1,162.9,40.2,,,,
LT_Debt,290.1,145.8,148.8,85.7,0.0,0.0,0.0,0.0
Net_Income,23.1,11.9,6.0,1.1,-15.9,-6.5,-12.8,-8.4
Revenue,67.4,44.9,33.1,4.3,0.0,0.0,49.1,61.7
Shares_Diluted,92.72,90.601,92.543,48.245,23.211,23.167,22.494,19.329
Total_Assets,582.4,202.8,183.9,106.2,1.9,30.6,36.1,37.9
Total_Liabilities,522.6,166.8,160.0,88.6,1.7,17.0,17.3,17.6
