AAII_YR_DATA,04/30/2022,04/30/2021,04/30/2020,12/31/2019,04/30/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,3.8,1.6,2.3,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0
Cash_from_Operations,-86.5,-37.6,-61.3,46.6,-34.9,63.7,88.0,88.6,110.9,69.5,61.4
Diluted_EPS,-1.84,-0.539,-0.72,0.311,-0.346,-3.18,0.6609999999999999,-1.794,-3.017,0.38,3.263
Goodwill_Intangibles,0.6,0.6,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,74.3,0.0,74.1,73.9,73.7,73.4,40.0,40.0
Net_Income,-192.1,-55.7,-69.4,11.1,-33.3,-92.4,17.2,-41.3,-69.4,7.8,52.8
Revenue,252.8,183.2,156.7,126.0,91.6,7.1,127.1,37.8,5.3,85.7,40.6
Shares_Diluted,104.404,103.4209,96.3306,35.833,96.3306,29.052,26.011,23.051,23.002,20.397000000000002,16.189
Total_Assets,1170.9,1196.5,305.1,4000.1,267.5,4099.4,4160.5,4117.0,4202.9,4017.7,2195.0
Total_Liabilities,181.4,135.3,93.8,3672.9,114.2,3825.0,3774.2,3758.1,3718.9,3372.5,1643.1
