AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,3.1,4.0,4.1,6.9,13.9
Cash_from_Operations,17.6,33.6,37.6,57.8,-44.8
Diluted_EPS,-1.312,-5.173,-2.422,-0.96,-0.818
Goodwill_Intangibles,166.6,254.8,591.2,772.6,854.1
LT_Debt,219.5,268.0,266.9,314.0,323.7
Net_Income,-79.6,-270.9,-109.7,-41.1,-41.8
Revenue,177.9,240.0,263.7,245.7,218.5
Shares_Diluted,60.653,52.3674,45.2763,42.8557,51.1571
Total_Assets,370.9,463.3,795.6,919.7,978.5
Total_Liabilities,277.1,348.5,411.8,484.0,513.3
