AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,1.7,2.8,3.0,3.9,2.0,1.1
Cash_from_Operations,19.3,-5.7,5.7,-13.6,2.0,-4.4
Diluted_EPS,0.236,-0.364,-0.758,-3.326,-0.699,-1.391
Goodwill_Intangibles,0.2,0.3,0.4,0.2,0.2,0.3
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,12.3,-18.0,-33.5,-152.1,-32.0,-63.6
Revenue,309.7,300.4,213.0,167.3,113.2,64.3
Shares_Diluted,51.9309,49.5858,44.1601,45.7331,45.7331,45.7331
Total_Assets,110.0,91.1,65.7,19.9,33.5,34.4
Total_Liabilities,54.4,55.0,41.8,27.2,22.1,22.0
