AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2011
Capital_Expenditures,1.7,1.3,0.6,,,,,,,,
Cash_from_Operations,5.8,5.1,3.0,,,,,,,,
Diluted_EPS,0.602,0.253,0.799,,,,,,,,
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
Net_Income,4.2,1.7,2.0,,,,,,,,
Revenue,16.5,13.4,11.7,,,,,,,,
Shares_Diluted,6.9457,6.8563,2.4431,,,,,,,,
Total_Assets,423.2,354.7,331.4,298.1,293.4,284.2,274.1,244.0,244.0,232.5,223.0
Total_Liabilities,323.0,255.0,,,,,,,0.0,0.0,182.6
