AAII_YR_DATA,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013
Capital_Expenditures,5.3,11.7,39.6,31.6,29.6,26.6,31.1,38.3,49.4,105.9
Cash_from_Operations,-38.6,-99.9,-86.4,-17.5,2.6,58.3,55.8,94.7,116.8,69.8
Diluted_EPS,-1.97,-3.152,-4.769,-0.34,0.137,-0.4,-0.233,-0.615,-2.452,0.537
Goodwill_Intangibles,177.6,233.3,232.0,354.5,835.8,845.9,432.6,436.0,445.1,
LT_Debt,180.0,186.9,205.5,118.9,90.0,120.6,119.6,120.0,120.0,1.3
Net_Income,-85.9,-113.3,-171.4,-14.2,6.4,-18.5,-11.3,-33.8,-138.5,30.5
Revenue,276.0,411.7,669.7,1069.0,1235.5,1292.8,1291.9,1837.3,1892.4,2018.7
Shares_Diluted,43.582,35.956,35.936,41.829,47.035,46.359,48.542,54.992,56.482,56.482
Total_Assets,769.3,996.4,1342.8,682.8,856.7,1011.5,1035.9,1162.0,1415.9,1390.5
Total_Liabilities,800.3,979.3,1217.1,358.6,370.3,503.3,516.5,534.6,702.0,533.1
