AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,2.4,5.4,1.2,0.9,0.2,0.4
Cash_from_Operations,-12.1,-24.9,19.5,16.7,9.5,-12.1
Diluted_EPS,-0.087,-0.299,-0.059,-0.069,-0.075,-0.207
Goodwill_Intangibles,7.6,3.1,0.4,0.2,0.2,0.2
LT_Debt,0.0,2.8,7.6,0.0,2.2,3.3
Net_Income,-4.4,-15.3,-3.0,-3.6,-3.9,-10.7
Revenue,164.1,318.2,172.9,140.8,72.1,37.3
Shares_Diluted,51.0979,51.0931,51.9178,51.9178,51.9178,51.9178
Total_Assets,154.4,263.3,189.3,72.1,47.3,23.5
Total_Liabilities,106.1,212.2,122.9,51.4,42.2,26.2
