AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,58.5,33.4,21.0,20.3,21.1
Cash_from_Operations,76.8,92.0,59.5,92.5,80.4
Diluted_EPS,-0.082,-0.01,-0.571,0.217,-0.043
Goodwill_Intangibles,296.0,306.1,50.7,32.1,23.1
LT_Debt,46.7,0.1,0.2,0.7,50.0
Net_Income,-12.3,-1.5,-75.1,31.1,-6.1
Revenue,491.6,425.5,374.7,321.5,272.4
Shares_Diluted,149.645,147.78,131.511,142.9938,142.9938
Total_Assets,719.2,670.2,558.8,264.6,215.1
Total_Liabilities,489.5,440.1,329.4,377.1,326.8
