AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,77.6,102.9,67.3,24.3,27.7,27.5,27.2,29.5,29.3,27.8
Cash_from_Operations,116.0,90.2,101.1,99.2,76.4,67.8,68.2,91.0,60.3,75.9
Diluted_EPS,4.142,3.503,0.75,2.585,1.021,0.561,1.273,1.576,2.02,0.965
Goodwill_Intangibles,462.7,475.4,199.6,85.4,97.1,100.5,98.0,113.5,121.4,131.9
LT_Debt,424.8,450.7,57.1,18.7,17.3,2.8,3.6,4.3,23.6,29.3
Net_Income,86.0,72.5,15.5,53.4,21.0,11.5,25.7,32.2,42.1,20.2
Revenue,1757.1,1510.6,1176.3,1185.4,1207.8,1139.4,969.2,1025.3,1126.9,1166.9
Shares_Diluted,20.76,20.689,20.603,20.655,20.613,20.415,20.213,20.402,20.852,20.943
Total_Assets,1692.0,1607.5,1057.9,898.4,800.3,791.1,741.3,742.3,762.3,777.9
Total_Liabilities,892.0,887.0,402.2,252.7,246.4,296.1,247.2,259.3,303.3,314.6
