AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,4.6,4.9,2.8,4.7,1.2,2.0,3.8
Cash_from_Operations,15.8,14.3,7.7,11.3,-0.1,-4.7,-1.3
Diluted_EPS,-0.575,-0.322,-0.38,-0.424,-0.659,-1.117,-0.425
Goodwill_Intangibles,54.7,58.3,62.8,67.4,12.4,13.2,7.1
LT_Debt,117.2,110.5,0.0,0.0,0.0,0.0,0.0
Net_Income,-18.0,-9.7,-10.2,-11.4,-17.1,-28.3,-10.5
Revenue,180.5,179.6,166.0,132.0,104.1,95.4,102.5
Shares_Diluted,31.273,30.041,28.655,26.859,25.971,25.329,24.621
Total_Assets,370.5,352.1,205.0,182.1,162.3,159.6,173.1
Total_Liabilities,206.6,189.2,77.0,78.6,57.8,49.9,47.5
