AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,5.1,4.4,12.4,5.2,7.3,5.5,9.2
Cash_from_Operations,58.5,50.2,28.3,48.2,41.8,53.9,37.0
Diluted_EPS,0.019,2.863,2.254,-0.009,-1.541,-1.319,-1.281
Goodwill_Intangibles,950.8,1063.2,1046.0,1085.2,1091.2,1318.5,1164.2
LT_Debt,850.3,873.8,967.2,1002.7,1020.8,809.6,811.8
Net_Income,0.9,137.4,111.9,-0.4,-74.0,-62.7,-62.0
Revenue,436.9,439.1,440.0,456.2,450.9,441.4,448.7
Shares_Diluted,47.9217,48.001,49.6329,47.9246,48.0279,47.5257,48.3702
Total_Assets,1249.9,1237.4,1316.8,1358.8,1346.5,1391.7,1414.4
Total_Liabilities,1066.8,1062.3,1274.1,1429.9,1418.3,1372.8,1336.4
