AAII_YR_DATA,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017
Capital_Expenditures,452.2,452.4,184.0,187.4,41.8
Cash_from_Operations,-289.5,96.0,91.7,144.4,96.3
Diluted_EPS,-17.385,0.718,-0.746,0.288,-4.524
Goodwill_Intangibles,312.9,288.5,445.4,463.5,
LT_Debt,655.1,28.1,48.6,101.3,0.0
Net_Income,-420.8,17.2,-17.9,6.9,-108.5
Revenue,180.4,762.9,1048.9,989.0,711.0
Shares_Diluted,24.205,24.017,23.9915,23.9915,23.9915
Total_Assets,4267.3,3719.2,3315.8,3287.8,
Total_Liabilities,1819.5,877.6,743.7,809.7,
