AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,10.6,3.4,1.3,1.7,2.1
Cash_from_Operations,141.5,-263.2,-122.2,386.1,-11.7
Diluted_EPS,-0.291,-0.509,0.486,0.313,-0.478
Goodwill_Intangibles,802.5,244.5,268.0,293.2,318.5
LT_Debt,720.4,711.1,424.0,0.0,95.9
Net_Income,-43.6,-66.1,59.1,39.7,-60.8
Revenue,1637.5,853.3,872.7,647.9,290.8
Shares_Diluted,149.819,129.984,121.514,126.9945,126.9945
Total_Assets,1706.1,1143.0,656.0,923.6,509.9
Total_Liabilities,1282.2,974.7,736.9,618.4,245.4
