AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,63.8,100.0,152.4,155.5,32.5,93.2,159.4
Cash_from_Operations,52.3,161.7,139.0,171.9,-19.1,68.7,102.9
Diluted_EPS,-0.529,1.123,0.524,0.892,-0.371,0.367,0.46
Goodwill_Intangibles,234.2,230.7,247.9,255.2,132.9,143.5,316.8
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-82.0,183.2,86.3,144.7,-60.9,60.4,76.1
Revenue,1713.7,1789.3,1439.3,1379.9,1227.5,1345.5,1222.1
Shares_Diluted,165.9031,155.023,163.179,164.6393,162.172,164.1403,164.2603
Total_Assets,2298.9,2450.0,2283.8,2088.2,1617.1,1800.2,1669.0
Total_Liabilities,664.8,653.0,567.0,417.5,284.4,444.2,417.9
