AAII_YR_DATA,03/31/2022,03/31/2021,03/31/2020,12/31/2019,03/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,2.2,1.5,5.5,0.0,6.8,0.0,0.0
Cash_from_Operations,-86.5,-102.6,188.2,-5.3,113.7,-0.5,
Diluted_EPS,-0.528,-2.038,-0.088,0.114,0.058,0.057999999999999996,
Goodwill_Intangibles,580.8,621.9,627.5,0.0,691.7,0.0,0.0
LT_Debt,729.8,716.7,621.1,0.0,618.9,0.0,0.0
Net_Income,-94.7,-430.5,-3.5,9.0,2.3,4.6,
Revenue,125.2,44.4,418.0,,410.6,0.0,0.0
Shares_Diluted,179.455,211.253,40.0,79.0625,40.0,79.0625,
Total_Assets,848.7,955.8,1117.9,650.6,1192.4,641.6,
Total_Liabilities,1039.1,1062.5,1055.1,23.0,1114.3,23.0,
