AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,176.0,129.0,106.0,78.0,13.0
Cash_from_Operations,367.0,692.0,252.0,-467.0,-159.0
Diluted_EPS,-3.675,-1.389,-1.447,-2.103,-0.652
Goodwill_Intangibles,3135.0,377.0,390.0,409.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0
Net_Income,-1365.0,-468.0,-461.0,-668.0,-207.0
Revenue,6583.0,4888.0,2886.0,885.0,291.0
Shares_Diluted,371.413,336.847,318.503,317.6565,317.6565
Total_Assets,9789.0,6809.0,6353.0,1732.0,683.0
Total_Liabilities,3035.0,2142.0,1653.0,550.0,134.0
