AAII_YR_DATA,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013
Capital_Expenditures,11.6,38.8,38.6,21.7,7.2,1.8,3.6,0.1,0.1
Cash_from_Operations,12.7,72.7,83.1,48.7,28.5,10.0,12.5,9.4,8.6
Diluted_EPS,-0.374,1.879,-2.834,1.005,0.239,0.866,0.167,0.027999999999999997,0.138
Goodwill_Intangibles,15.9,15.1,5.7,8.5,1.1,0.7,1.4,0.7,0.8
LT_Debt,389.9,404.2,315.1,236.6,58.6,52.1,32.9,10.7,11.0
Net_Income,-217.1,254.1,-383.2,135.9,32.3,117.0,22.6,3.8,4.4
Revenue,108.9,173.6,216.1,107.9,49.5,38.2,27.3,21.6,21.6
Shares_Diluted,580.7189,135.2082,135.2082,135.2091,135.2082,135.1501,135.2082,135.2082,31.5035
Total_Assets,1919.3,2148.7,1146.1,1051.4,420.0,376.4,175.8,35.7,40.3
Total_Liabilities,1135.3,1085.8,602.3,485.1,200.7,181.8,95.4,27.4,29.1
