CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted Diluted,,12/31/2026,,1.91,8/6/2025,1.87,7/22/2025,1.8,6/21/2025,1.85,5/7/2025,1.82,4/14/2025,1.8,2/27/2025,1.61,2/3/2025,1.58,12/17/2024,1.6,11/5/2024,1.62,9/25/2024,1.6,8/9/2024,1.56,6/24/2024,1.45,5/11/2024,1.32,4/10/2024,1.34,3/2/2024,1.27,1/17/2024,1.27,12/17/2023,1.28,11/1/2023,1.25,10/13/2023,1.25,9/13/2023,1.25,8/2/2023,1.2,7/22/2023,1.19,6/12/2023,1.21,5/2/2023,,4/9/2023,1.09,3/1/2023,1.07,1/13/2023,1.07,12/6/2022,1.08,11/2/2022,1.13,10/12/2022,1.13,9/10/2022,1.13,8/6/2022,1.14,7/26/2022,1.15,6/21/2022,1.15,5/15/2022,1.15,5/5/2022,,3/28/2022,1.02,2/27/2022,1.02,1/11/2022,1.02,12/8/2021,1.03,11/3/2021,1,10/10/2021,1,9/9/2021,1,8/3/2021,1,7/9/2021,1,6/2/2021,1.06,5/4/2021,1.06,3/26/2021
,,9/30/2026,,1.69,,1.67,,1.63,,1.69,,1.68,,1.7,,1.48,,1.48,,1.47,,1.5,,1.48,,1.43,,1.34,,1.22,,1.23,,1.21,,1.21,,1.21,,1.19,,1.19,,1.19,,1.17,,1.17,,1.18,,,,1.05,,1.03,,1.03,,1.04,,1.09,,1.09,,1.09,,1.11,,1.12,,1.12,,1.12,,,,0.96,,0.96,,0.96,,0.98,,1.02,,1.02,,1.01,,1.01,,1.01,,1.03,,1.03,
,,6/30/2026,,1.67,,1.63,,1.58,,1.64,,1.65,,1.68,,1.47,,1.47,,1.47,,1.47,,1.48,,1.38,,1.29,,1.15,,1.17,,1.17,,1.17,,1.19,,1.17,,1.17,,1.17,,1.14,,1.14,,1.13,,,,0.97,,0.97,,0.97,,0.98,,1.01,,1.01,,1.01,,1.04,,1.05,,1.05,,1.05,,,,1.02,,1.02,,1.02,,1.03,,0.99,,0.99,,0.97,,0.97,,0.97,,1.01,,1.01,
,,3/30/2026,,1.51,,1.53,,1.49,,1.51,,1.47,,1.48,,1.34,,1.34,,1.36,,1.37,,1.34,,1.29,,1.26,,1.09,,1.11,,1.09,,1.09,,1.11,,1.1,,1.1,,1.1,,1.07,,1.07,,1.07,,,,0.89,,0.89,,0.89,,0.9,,0.96,,0.96,,0.96,,0.9,,0.91,,0.92,,0.92,,,,0.94,,0.94,,0.94,,0.94,,0.96,,0.96,,0.94,,0.94,,0.94,,0.98,,0.98,
,,12/31/2025,,1.71,2/3/2025,1.69,2/3/2025,1.69,2/3/2025,1.68,2/3/2025,1.68,2/3/2025,1.62,2/3/2025,1.61,2/3/2025,1.58,12/17/2024,1.6,11/5/2024,1.62,9/25/2024,1.6,8/9/2024,1.56,6/24/2024,1.45,5/11/2024,1.32,4/10/2024,1.34,3/2/2024,1.27,1/17/2024,1.27,12/17/2023,1.28,11/1/2023,1.25,10/13/2023,1.25,9/13/2023,1.25,8/2/2023,1.2,7/22/2023,1.19,6/12/2023,1.21,5/2/2023,,4/9/2023,1.09,3/1/2023,1.07,1/13/2023,1.07,12/6/2022,1.08,11/2/2022,1.13,10/12/2022,1.13,9/10/2022,1.13,8/6/2022,1.14,7/26/2022,1.15,6/21/2022,1.15,5/15/2022,1.15,5/5/2022,,3/28/2022,1.02,2/27/2022,1.02,1/11/2022,1.02,12/8/2021,1.03,11/3/2021,1,10/10/2021,1,9/9/2021,1,8/3/2021,1,7/9/2021,1,6/2/2021,1.06,5/4/2021,1.06,3/26/2021
,,9/30/2025,,1.53,,1.53,,1.53,,1.54,,1.54,,1.51,,1.48,,1.48,,1.47,,1.5,,1.48,,1.43,,1.34,,1.22,,1.23,,1.21,,1.21,,1.21,,1.19,,1.19,,1.19,,1.17,,1.17,,1.18,,,,1.05,,1.03,,1.03,,1.04,,1.09,,1.09,,1.09,,1.11,,1.12,,1.12,,1.12,,,,0.96,,0.96,,0.96,,0.98,,1.02,,1.02,,1.01,,1.01,,1.01,,1.03,,1.03,
,8/4/2025,6/30/2025,1.2,1.49,,1.47,,1.47,,1.49,,1.49,,1.47,,1.47,,1.47,,1.47,,1.47,,1.48,,1.38,,1.29,,1.15,,1.17,,1.17,,1.17,,1.19,,1.17,,1.17,,1.17,,1.14,,1.14,,1.13,,,,0.97,,0.97,,0.97,,0.98,,1.01,,1.01,,1.01,,1.04,,1.05,,1.05,,1.05,,,,1.02,,1.02,,1.02,,1.03,,0.99,,0.99,,0.97,,0.97,,0.97,,1.01,,1.01,
,5/5/2025,3/30/2025,1.16,1.42,,1.34,,1.32,,1.34,,1.34,,1.36,,1.37,,1.34,,1.29,,1.26,,1.09,,1.11,,1.09,,1.09,,1.11,,1.1,,1.1,,1.1,,1.07,,1.07,,1.07,,,,0.89,,0.89,,0.89,,0.9,,0.96,,0.96,,0.96,,0.9,,0.91,,0.92,,0.92,,,,0.94,,0.94,,0.94,,0.94,,0.96,,0.96,,0.94,,0.94,,0.94,,0.98,,0.98,,,,,,,
,2/24/2025,12/31/2024,1.07,1.38,4/10/2024,1.35,4/10/2024,1.34,4/10/2024,1.34,4/10/2024,1.36,4/10/2024,1.39,4/10/2024,1.37,4/10/2024,1.33,4/10/2024,1.32,4/10/2024,1.34,3/2/2024,1.27,1/17/2024,1.27,12/17/2023,1.28,11/1/2023,1.25,10/13/2023,1.25,9/13/2023,1.25,8/2/2023,1.2,7/22/2023,1.19,6/12/2023,1.21,5/2/2023,,4/9/2023,1.09,3/1/2023,1.07,1/13/2023,1.07,12/6/2022,1.08,11/2/2022,1.13,10/12/2022,1.13,9/10/2022,1.13,8/6/2022,1.14,7/26/2022,1.15,6/21/2022,1.15,5/15/2022,1.15,5/5/2022,,3/28/2022,1.02,2/27/2022,1.02,1/11/2022,1.02,12/8/2021,1.03,11/3/2021,1,10/10/2021,1,9/9/2021,1,8/3/2021,1,7/9/2021,1,6/2/2021,1.06,5/4/2021,1.06,3/26/2021,,,,,,,,,,
,11/4/2024,9/30/2024,1.1,1.3,,1.3,,1.3,,1.25,,1.23,,1.22,,1.23,,1.21,,1.21,,1.21,,1.19,,1.19,,1.19,,1.17,,1.17,,1.18,,,,1.05,,1.03,,1.03,,1.04,,1.09,,1.09,,1.09,,1.11,,1.12,,1.12,,1.12,,,,0.96,,0.96,,0.96,,0.98,,1.02,,1.02,,1.01,,1.01,,1.01,,1.03,,1.03,,,,,,,,,,,,,,,,,
