CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,
Non-GAAP,,5/30/2027,,2.36,1/17/2026,2.36,12/13/2025,2.35,11/25/2025,2.35,10/23/2025,2.37,9/13/2025,2.37,8/26/2025,2.38,7/21/2025,2.37,6/16/2025,1.91,5/21/2025
,,2/28/2027,,2.04,,2.04,,2.03,,2.04,,2.06,,2.03,,2.04,,2.03,,1.66,
,,11/30/2026,,1.84,,1.87,,1.92,,1.92,,1.94,,1.95,,1.96,,1.95,,1.61,
,,8/30/2026,,1.71,,1.76,,1.73,,1.74,,1.75,,1.77,,1.77,,1.76,,1.48,
,,5/30/2026,,1.96,5/21/2025,1.99,5/21/2025,2.01,5/21/2025,2.01,5/21/2025,2.01,5/21/2025,1.99,5/21/2025,1.99,5/21/2025,1.98,5/21/2025,1.91,5/21/2025
,,2/28/2026,,1.71,,1.72,,1.72,,1.72,,1.72,,1.69,,1.69,,1.68,,1.66,
,12/10/2025,11/30/2025,2.1,2.26,,1.64,,1.64,,1.63,,1.62,,1.62,,1.62,,1.61,,,
,9/9/2025,8/30/2025,1.01,1.47,,1.48,,1.48,,1.48,,1.48,,,,,,,,,
,6/11/2025,5/30/2025,1.19,1.7,8/25/2024,1.64,8/25/2024,1.64,8/25/2024,1.67,8/25/2024,,,,,,,,,,
,3/10/2025,2/28/2025,1.02,1.47,,1.49,,1.5,,1.57,,,,,,,,,,,
,12/9/2024,11/30/2024,1.1,1.47,,1.48,,1.48,,1.48,,,,,,,,,,,
,9/9/2024,8/30/2024,1.03,1.39,,1.33,,1.32,,1.32,,,,,,,,,,,
,6/11/2024,5/30/2024,1.11,1.63,8/7/2023,1.65,8/7/2023,1.65,8/7/2023,1.65,8/7/2023,,,,,,,,,,
,3/11/2024,2/28/2024,0.85,1.41,,1.38,,1.38,,1.37,,,,,,,,,,,
,12/11/2023,11/30/2023,0.89,1.34,,1.32,,1.32,,1.33,,,,,,,,,,,
,9/11/2023,8/30/2023,0.86,1.19,,1.14,,1.15,,1.15,,,,,,,,,,,
,6/12/2023,5/30/2023,1.19,1.67,,1.58,,1.58,,1.57,,,,,,,,,,,
,3/9/2023,2/28/2023,0.68,1.22,,1.2,,1.2,,1.24,,,,,,,,,,,
,12/12/2022,11/30/2022,0.63,1.21,,1.18,,1.18,,1.28,,,,,,,,,,,
,9/12/2022,8/30/2022,0.56,1.03,,1.07,,1.07,,1.07,,,,,,,,,,,
,6/13/2022,5/31/2022,1.16,1.54,,1.37,,1.37,,1.38,,,,,,,,,,,
,3/10/2022,2/28/2022,0.84,1.13,,1.18,,1.18,,1.17,,,,,,,,,,,
,12/9/2021,11/30/2021,-0.46,1.21,,1.11,,1.11,,1.11,,,,,,,,,,,
,9/13/2021,8/31/2021,0.86,1.03,,0.97,,0.97,,0.97,,,,,,,,,,,
,6/15/2021,5/30/2021,1.37,1.54,,1.31,,1.31,,1.31,,,,,,,,,,,
,3/10/2021,2/26/2021,1.68,1.16,,1.11,,1.11,,1.04,,,,,,,,,,,
,12/10/2020,11/30/2020,0.801707157,1.06,,1,,0.94,,0.96,,,,,,,,,,,
,9/10/2020,8/31/2020,0.72449308,0.93,,0.86,,0.88,,0.9,,,,,,,,,,,
,6/16/2020,5/29/2020,0.985452245,1.2,,1.15,,1.2,,1.23,,,,,,,,,,,
