CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,9/30/2025,,1.45,7/27/2024,1.32,6/13/2024,1.32,4/27/2024,1.36,3/9/2024,1.36,1/27/2024,1.35,1/8/2024,1.37,12/1/2023,1.37,10/28/2023,1.3,10/7/2023,1.31,8/29/2023,1.21,7/27/2023,1.21,7/12/2023,1.18,6/7/2023,1.25,4/28/2023,1.28,4/15/2023,1.39,3/6/2023,1.36,1/28/2023,,1/8/2023,1.31,12/2/2022,1.31,10/30/2022,1.07,10/2/2022,1.07,9/1/2022,1.15,7/27/2022,1.51,7/6/2022,1.52,6/4/2022,1.47,5/2/2022,1.41,4/1/2022,1.33,2/28/2022,1.33,1/27/2022,1.33,1/3/2022,0.9,12/3/2021,0.94,10/28/2021,0.86,10/7/2021,0.86,9/7/2021,0.85,8/1/2021,0.79,6/24/2021,0.79,5/25/2021,0.79,4/28/2021,0.77,4/23/2021,0.76,3/24/2021,0.76,2/27/2021,0.76,2/26/2021
,,6/30/2025,,1.76,,1.59,,1.59,,1.61,,1.61,,1.63,,1.61,,1.61,,1.53,,1.54,,1.57,,1.57,,1.59,,1.58,,1.48,,1.54,,1.57,,,,1.44,,1.44,,1.24,,1.24,,1.31,,1.48,,1.46,,1.65,,1.63,,1.49,,1.49,,1.49,,1.05,,1.08,,1.02,,1.02,,1.02,,0.97,,0.97,,0.97,,0.96,,1.09,,1.09,,1.09,
,,3/30/2025,,2.6,,2.52,,2.52,,2.48,,2.48,,2.15,,2.16,,2.16,,2.15,,2.15,,2.24,,2.24,,2.17,,2.04,,2.08,,2.09,,2.11,,,,1.94,,1.94,,2.22,,2.22,,2.05,,2.33,,2.31,,2.27,,2.32,,2.24,,2.24,,2.24,,2.12,,2.1,,2.19,,2.19,,2.05,,1.95,,1.95,,1.95,,1.85,,1.72,,1.72,,1.72,
,,12/30/2024,,1.32,,1.35,,1.35,,1.2,,1.2,,1.24,,1.24,,1.24,,1.35,,1.37,,1.38,,1.38,,1.4,,1.44,,1.37,,1.4,,1.36,,,,0.8,,0.8,,0.8,,0.8,,0.8,,1.09,,1.09,,1,,1.03,,0.99,,0.99,,0.99,,0.73,,0.74,,0.76,,0.76,,0.75,,0.67,,0.67,,0.67,,0.67,,0.68,,0.68,,0.68,
,,9/30/2024,,1.27,1/8/2024,1.29,1/8/2024,1.3,1/8/2024,1.35,1/8/2024,1.35,1/8/2024,1.35,1/8/2024,1.37,12/1/2023,1.37,10/28/2023,1.3,10/7/2023,1.31,8/29/2023,1.21,7/27/2023,1.21,7/12/2023,1.18,6/7/2023,1.25,4/28/2023,1.28,4/15/2023,1.39,3/6/2023,1.36,1/28/2023,,1/8/2023,1.31,12/2/2022,1.31,10/30/2022,1.07,10/2/2022,1.07,9/1/2022,1.15,7/27/2022,1.51,7/6/2022,1.52,6/4/2022,1.47,5/2/2022,1.41,4/1/2022,1.33,2/28/2022,1.33,1/27/2022,1.33,1/3/2022,0.9,12/3/2021,0.94,10/28/2021,0.86,10/7/2021,0.86,9/7/2021,0.85,8/1/2021,0.79,6/24/2021,0.79,5/25/2021,0.79,4/28/2021,0.77,4/23/2021,0.76,3/24/2021,0.76,2/27/2021,0.76,2/26/2021
,7/24/2024,6/30/2024,1.66,1.66,,1.57,,1.56,,1.66,,1.66,,1.63,,1.61,,1.61,,1.53,,1.54,,1.57,,1.57,,1.59,,1.58,,1.48,,1.54,,1.57,,,,1.44,,1.44,,1.24,,1.24,,1.31,,1.48,,1.46,,1.65,,1.63,,1.49,,1.49,,1.49,,1.05,,1.08,,1.02,,1.02,,1.02,,0.97,,0.97,,0.97,,0.96,,1.09,,1.09,,1.09,
,4/24/2024,3/30/2024,2.56,2.56,,2.3,,2.3,,2.15,,2.16,,2.16,,2.15,,2.15,,2.24,,2.24,,2.17,,2.04,,2.08,,2.09,,2.11,,,,1.94,,1.94,,2.22,,2.22,,2.05,,2.33,,2.31,,2.27,,2.32,,2.24,,2.24,,2.24,,2.12,,2.1,,2.19,,2.19,,2.05,,1.95,,1.95,,1.95,,1.85,,1.72,,1.72,,1.72,,,,,
,1/24/2024,12/30/2023,1.06,1.06,,1.24,,1.24,,1.24,,1.35,,1.37,,1.38,,1.38,,1.4,,1.44,,1.37,,1.4,,1.36,,,,0.8,,0.8,,0.8,,0.8,,0.8,,1.09,,1.09,,1,,1.03,,0.99,,0.99,,0.99,,0.73,,0.74,,0.76,,0.76,,0.75,,0.67,,0.67,,0.67,,0.67,,0.68,,0.68,,0.68,,,,,,,,,
,10/25/2023,9/30/2023,1.36,1.36,,1.25,,1.25,,1.25,,1.25,,1.26,,1.29,,1.29,,1.38,,1.35,,1.29,,1.31,12/2/2022,1.31,10/30/2022,1.07,10/2/2022,1.07,9/1/2022,1.15,7/27/2022,1.51,7/6/2022,1.52,6/4/2022,1.47,5/2/2022,1.41,4/1/2022,1.33,2/28/2022,1.33,1/27/2022,1.33,1/3/2022,0.9,12/3/2021,0.94,10/28/2021,0.86,10/7/2021,0.86,9/7/2021,0.85,8/1/2021,0.79,6/24/2021,0.79,5/25/2021,0.79,4/28/2021,0.77,4/23/2021,0.76,3/24/2021,0.76,2/27/2021,0.76,2/26/2021,,,,,,,,,,,,,,
,7/26/2023,6/30/2023,1.68,1.68,,1.47,,1.46,,1.36,,1.36,,1.42,,1.43,,1.44,,1.44,,1.44,,1.24,,1.24,,1.31,,1.48,,1.46,,1.65,,1.63,,1.49,,1.49,,1.49,,1.05,,1.08,,1.02,,1.02,,1.02,,0.97,,0.97,,0.97,,0.96,,1.09,,1.09,,1.09,,,,,,,,,,,,,,,,,,,,,
,4/26/2023,3/30/2023,1.99,1.99,,2.07,,2.03,,1.93,,1.95,,1.94,,1.94,,2.22,,2.22,,2.05,,2.33,,2.31,,2.27,,2.32,,2.24,,2.24,,2.24,,2.12,,2.1,,2.19,,2.19,,2.05,,1.95,,1.95,,1.95,,1.85,,1.72,,1.72,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/25/2023,12/30/2022,0.98,0.98,,0.81,,0.8,,0.8,,0.8,,0.8,,0.8,,1.09,,1.09,,1,,1.03,,0.99,,0.99,,0.99,,0.73,,0.74,,0.76,,0.76,,0.75,,0.67,,0.67,,0.67,,0.67,,0.68,,0.68,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/27/2022,9/30/2022,0.81,0.81,,0.72,,0.72,,1.04,,1.11,,1.09,,1.15,,1.07,,1.03,,0.93,,0.91,,0.9,,0.94,10/28/2021,0.86,10/7/2021,0.86,9/7/2021,0.85,8/1/2021,0.79,6/24/2021,0.79,5/25/2021,0.79,4/28/2021,0.77,4/23/2021,0.76,3/24/2021,0.76,2/27/2021,0.76,2/26/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/27/2022,6/30/2022,0.76,0.93,,0.94,,0.83,,0.91,,1.11,,0.97,,1.06,,1.05,,1.05,,1.08,,1.02,,1.02,,1.02,,0.97,,0.97,,0.97,,0.96,,1.09,,1.09,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/28/2022,3/31/2022,1.66,2,,2,,1.97,,2.12,,2.13,,2.12,,2.1,,2.19,,2.19,,2.05,,1.95,,1.95,,1.95,,1.85,,1.72,,1.72,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/26/2022,12/31/2021,2,2,,0.73,,0.73,,0.74,,0.76,,0.76,,0.75,,0.67,,0.67,,0.67,,0.67,,0.68,,0.68,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/27/2021,9/30/2021,0.5,0.5,,0.81,,0.81,,0.74,,0.61,,0.61,,0.59,,0.59,,0.58,,0.58,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/28/2021,6/30/2021,1.21,1.21,,0.89,,0.89,,0.85,,0.84,,0.86,,0.86,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/27/2021,3/31/2021,1.84,1.84,,1.57,,1.53,,1.53,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/27/2021,12/31/2020,0.84,0.84,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/28/2020,9/30/2020,0.38,0.38,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/22/2020,6/30/2020,0.53,0.53,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/22/2020,3/31/2020,1.45,1.45,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/29/2020,12/31/2019,0.56,0.56,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/24/2019,9/30/2019,0.53,0.53,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/30/2019,6/28/2019,0.75,0.75,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/25/2019,3/29/2019,0.81,1.1,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/28/2019,12/31/2018,0.39,0.39,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/30/2018,9/28/2018,0.72,0.25,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/26/2018,6/29/2018,0.66,0.32,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/30/2018,3/29/2018,3.18,1.15,,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/30/2018,12/29/2017,0.45,0.35,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/22/2017,0.19,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
