Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,1/29/2021,0.86,3/19/2020,0.84,3/8/2020,0.84,,0.82,,0.832796935,,0.829885057,,,,
,10/30/2020,0.73,,0.75,,0.75,,0.73,,0.75,,0.74,,0.7451341,,0.742528736
,7/31/2020,0.63,,0.68,,0.68,,0.67,,0.68,,0.679386973,,0.677011494,,
,4/30/2020,0.54,,0.62,,0.62,,0.602681992,,0.589655172,,,,,,
2/26/2020,1/31/2020,0.81,,0.77,,0.75,,0.76,,0.73,,0.78,,,,
11/19/2019,10/31/2019,0.68,,0.66,,0.68,,0.67,,0.68,,,,,,
8/20/2019,8/2/2019,0.61755138,,0.62,,0.61,,0.64,,,,,,,,
5/21/2019,5/3/2019,0.567677985,,0.55,,0.54,,0.58,,0.61,,,,,,
2/27/2019,1/31/2019,0.676092706,,0.69,,0.68,,0.71,,,,,,,,
11/20/2018,10/31/2018,0.606135523,,0.61,,0.55,,,,,,,,,,
8/21/2018,7/31/2018,0.584259669,,0.525,,0.485,,,,,,,,,,
5/22/2018,4/30/2018,0.564580982,,0.51,,0.45,,,,,,,,,,
2/28/2018,1/31/2018,0.678895845,,0.635,,0.605,,,,,,,,,,
11/14/2017,10/27/2017,0.498876153,,0.5,,0.49,,0.565,,,,,,,,
8/15/2017,7/28/2017,0.426455731,,0.42,,0.46,,0.45,,0.495,,,,,,
5/16/2017,4/28/2017,0.409498945,,0.395,,0.405,,0.45,,0.51,,,,,,
2/22/2017,1/27/2017,0.515624002,,0.5,,0.405,,0.525,,0.435,,,,,,
11/15/2016,10/28/2016,0.415421303,,0.435,,0.5,,0.46,,0.5,,0.405,,,,
8/16/2016,7/29/2016,0.421668872,,0.435,,0.415,,0.435,,0.43,,0.355,,,,
5/17/2016,4/29/2016,0.379143123,,0.405,,0.355,,0.37,,0.39,,,,,,
,1/29/2016,0.493915598,,0.47,,0.49,,0.485,,,,,,,,
,10/30/2015,0.431270599,,0.42,,0.425,,0.44,,0.45,,0.47,,0.475,,0.485
,7/31/2015,0.400786054,,0.39,,0.415,,0.42,,,,,,,,
,5/1/2015,0.343313715,,0.335,,0.36,,0.365,,0.47,,,,,,
,1/30/2015,0.46573065,,0.45,,0.47,,0.465,,0.425,,,,,,
,10/31/2014,0.424360026,,0.425,,0.43,,0.425,,0.415,,0.365,,,,
,8/1/2014,0.367005105,,0.365,,0.37,,0.375,,0.37,,0.335,,,,
,5/2/2014,0.318639168,,0.335,,0.355,,0.36,,0.415,,,,,,
,1/31/2014,0.404654951,,0.41,,0.415,,0.42,,0.37,,,,,,
,11/1/2013,0.429946223,,0.37,,0.315,,,,,,,,,,
,7/31/2013,0.329096664,,0.315,,0.32,,0.31,,,,,,,,
,5/3/2013,0.309116722,,0.31,,0.315,,0.31,,0.405,,,,,,
,2/1/2013,0.409834777,,0.405,,0.38,,0.305,,,,,,,,
,10/26/2012,0.030945793,,0.305,,,,,,,,,,,,
,7/27/2012,0.28026351,,0.275,,,,,,,,,,,,
,4/27/2012,0.27724281,,,,,,,,,,,,,,
,1/27/2012,0.311550971,,,,,,,,,,,,,,
,10/28/2011,0.265312929,,,,,,,,,,,,,,
,7/29/2011,0.224661722,,,,,,,,,,,,,,
,4/29/2011,0.168748707,,,,,,,,,,,,,,
,1/28/2011,0.210281214,,,,,,,,,,,,,,
,10/29/2010,0.230937996,,,,,,,,,,,,,,
,7/30/2010,0.18608295,,,,,,,,,,,,,,
,4/30/2010,0.199948118,,,,,,,,,,,,,,
,1/29/2010,0.235576109,,,,,,,,,,,,,,
,10/30/2009,0.203109962,,,,,,,,,,,,,,
,7/31/2009,0.151910313,,,,,,,,,,,,,,
,5/1/2009,0.121095342,,,,,,,,,,,,,,
,1/30/2009,0.145572369,,,,,,,,,,,,,,
,10/24/2008,0.133777388,,,,,,,,,,,,,,
,8/1/2008,0.1125,,,,,,,,,,,,,,
,5/2/2008,0.1075,,,,,,,,,,,,,,
,1/31/2008,0.165,,,,,,,,,,,,,,
,10/25/2007,0.135,,,,,,,,,,,,,,
,8/1/2007,0.0325,,,,,,,,,,,,,,
,5/2/2007,0.085,,,,,,,,,,,,,,
,1/31/2007,0.1075,,,,,,,,,,,,,,
,10/25/2006,0.12,,,,,,,,,,,,,,
,8/1/2006,0.0725,,,,,,,,,,,,,,
,5/2/2006,0.085,,,,,,,,,,,,,,
,1/31/2006,0.15,,,,,,,,,,,,,,
,10/25/2005,0.08,,,,,,,,,,,,,,
,8/1/2005,0.0575,,,,,,,,,,,,,,
,5/2/2005,0.07,,,,,,,,,,,,,,
,1/31/2005,0.0825,,,,,,,,,,,,,,
,10/29/2004,0.0925,,,,,,,,,,,,,,
,7/30/2004,0.0525,,,,,,,,,,,,,,
,4/30/2004,0.075,,,,,,,,,,,,,,
,1/30/2004,0.113703107,,,,,,,,,,,,,,
