CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,,,,,,,,,,,,,,
non-GAAP Diluted,,12/31/2021,1.34,11/29/2020,1.28,10/29/2020,1.26,9/24/2020,1.19,8/30/2020,1.15,7/29/2020,1.16,6/10/2020,1.18,5/8/2020,1.18,3/24/2020,,,,,,,,,,,,,
,,9/30/2021,1.4,,1.24,,1.25,,0.98,,0.83,,0.82,,0.76,,0.76,,,,,,,,,,,,,,
,,6/30/2021,1.25,,1.25,,1.27,,1.19,,0.98,,0.94,,0.79,,0.79,,,,,,,,,,,,,,
,,3/31/2021,1.13,,1.12,,1.11,,1.02,,1.05,,1.03,,1.01,,1.01,,,,,,,,,,,,,,
,,12/31/2020,1.29,,1.2,3/24/2020,1.15,3/24/2020,1.06,3/24/2020,0.98,3/24/2020,0.97,3/24/2020,1.23,3/24/2020,1.23,3/24/2020,1.31,2/20/2020,1.31,1/28/2020,1.32,1/12/2020,1.29,9/8/2019,1.26,,1.26,,1.25
,10/29/2020,9/30/2020,1.6,,1.44,,0.85,,0.62,,0.59,,0.92,,0.92,,1,,1,,0.98,,1,,0.98,,0.98,,0.96,,
,7/29/2020,6/30/2020,1.01,,0.72,,0.84,,0.84,,1.09,,1.09,,1.08,,1.05,,1.04,,1.04,,1.02,,,,,,,,
,5/7/2020,3/31/2020,-4.19,,0.83,,1.08,,1.08,,1.1,,1.14,,1.14,,1.14,,,,,,,,,,,,,,
,2/20/2020,12/31/2019,-1.6,,1.07,,1.07,,1.12,,1.07,,1.07,,1.2,1.16,,,,,,,,,,,,,,,
,11/4/2019,9/30/2019,0.58,,0.82,,0.81,,0.81,,0.85,0.95,,,,,,,,,,,,,,,,,,,
,7/25/2019,7/1/2019,0.61997587,,0.87,,0.95,,0.96,,,,,,,,,,,,,,,,,,,,,,
,4/25/2019,3/29/2019,0.815407209,,0.94,,0.93,,0.94,,,,,,,,,,,,,,,,,,,,,,
,2/14/2019,12/31/2018,0.874583906,,1.03,,0.99,,0.86,0.74,,,,,,,,,,,,,,,,,,,,,
,10/25/2018,9/28/2018,0.623333666,,0.76,,0.75,,0.7,,,,,,,,,,,,,,,,,,,,,,
,7/26/2018,6/29/2018,0.543515394,,0.78,,0.87,,0.81,,,,,,,,,,,,,,,,,,,,,,
,4/26/2018,3/29/2018,0.725457525,,0.95,,0.93,,,,,,,,,,,,,,,,,,,,,,,,
,2/15/2018,12/29/2017,2.455402827,,0.55,,0.53,,0.56,0.58,,,,,,,,,,,,,,,,,,,,,
,10/27/2017,9/29/2017,0.351494556,,0.54,,0.53,,0.54,0.53,,,,,,,,,,,,,,,,,,,,,
,7/28/2017,6/30/2017,0.5067855,,0.58,,0.65,,0.6,0.64,,,,,,,,,,,,,,,,,,,,,
,4/28/2017,3/31/2017,0.73633023,,0.66,,0.78,,0.79,0.78,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.298915221,,0.44,,0.45,,0.47,0.49,0.48,0.49,0.62,0.61,0.62,,,,,,,,,,,,,,,,
,,9/30/2016,0.40251916,,0.46,,0.47,,0.46,0.48,0.61,0.5,0.58,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.525402912,,0.56,,0.57,,0.61,0.63,0.54,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.678626548,,0.75,,0.74,,0.76,0.79,0.78,0.75,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.296503535,,0.38,,0.37,,0.5,0.51,0.53,0.52,0.49,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.331079972,,0.48,,0.46,,0.48,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.555691085,,0.45,,0.44,,0.52,0.55,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.675904193,,0.55,,0.54,,0.7,0.41,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.303685071,,0.35,,0.39,,0.49,0.55,0.38,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.12792458,,0.37,,0.51,,0.53,0.36,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.117151988,,0.35,,0.46,,0.56,0.53,,,,,,,,,,,,,,,,,,,,,
