CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Non-GAAP,,12/31/2021,2.26,12/13/2020,,,,,,,,,,,,,,,,,,,
,,9/30/2021,1.81,,,,,,,,,,,,,,,,,,,,
,,6/30/2021,1.64,,,,,,,,,,,,,,,,,,,,
,,3/31/2021,1.25,,,,,,,,,,,,,,,,,,,,
,,12/31/2020,1.74,,,,,,,,,,,,,,,,,,,,
,10/29/2020,9/30/2020,,,,,,,,,,,,,,,,,,,,,
,7/28/2020,6/30/2020,,,,,,,,,,,,,,,,,,,,,
,5/5/2020,3/31/2020,,,,,,,,,,,,,,,,,,,,,
,1/30/2020,12/31/2019,,,,,,,,,,,,,,,,,,,,,
,10/30/2019,9/30/2019,,,,,,,,,,,,,,,,,,,,,
,7/31/2019,6/28/2019,,,,,,,,,,,,,,,,,,,,,
,4/30/2019,3/29/2019,,,,,,,,,,,,,,,,,,,,,
,1/31/2019,12/31/2018,,,,,,,,,,,,,,,,,,,,,
,11/1/2018,9/28/2018,,,,,,,,,,,,,,,,,,,,,
,8/1/2018,6/29/2018,,,,,,,,,,,,,,,,,,,,,
,5/3/2018,3/29/2018,,,,,,,,,,,,,,,,,,,,,
,2/1/2018,12/29/2017,,,,,,,,,,,,,,,,,,,,,
,11/2/2017,9/29/2017,,,,,,,,,,,,,,,,,,,,,
,8/1/2017,6/30/2017,,,,,,,,,,,,,,,,,,,,,
,5/9/2017,3/31/2017,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,,,,,,,,,,,,,,,,,,,,,
,,12/30/2014,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,,,,,,,,,,,,,,,,,,,,,
,,12/28/2012,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,,,,,,,,,,,,,,,,,,,,,
,,6/20/2011,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,,,,,,,,,,,,,,,,,,,,,
